"slug";"name";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"reviewReason";"alternativesConsidered";"primaryEvidence";"secondaryEvidence";"recordUrl"
"arwowear-330-moda-pro-el";"ArWoWear 330 Moda Pro El";"energy";"78";"";"0";"Two explicit end uses (electrical workers and military) are stated with similar phrasing, requiring judgment on which is primary versus secondary.";"hivis: EN ISO 20471 certification and hi-vis property listed, but no explicit garment or safety-warning use context beyond the standard reference. || welding: FR and antistatic properties could theoretically apply to metalworking, but no explicit welding, foundry or metallurgy use is stated. || workwear-industrial: General workwear fits the FR coverall application field, but explicit narrower sectors (energy, military) are directly stated, making this less specific.";"ArWoWear 330 Moda Pro El fabric is mostly used by electrical workers and miltary applications. || It provides arc flash protection with EN 61482 class 1 (4 kA) certification. || Suitable for antistatic application, certified for EN ISO 1149. || Application | Flame Retardant Coveralls";"";"/ariteks/fabrics/arwowear-330-moda-pro-el/data/fabric-complete-record.json"
"ard3e3";"ArD3E3";"welding";"93";"";"0";"Secondary candidate did not pass confidence threshold 70.";"hivis: EN ISO 20471 certification and hi-vis tag present, but the product's core described use and category are molten metal/welding protection, not warning visibility. || medical: Chemical resistance certification exists but no explicit medical or healthcare use is stated. || military: No explicit military or uniformed-service use stated. || workwear-industrial: More specific welding/molten-metal application is directly supported and takes precedence.";"categoryId: molten-metal || EN ISO 11611 Welding Protection: Yes || EN ISO 11612 D3 E3 || Application | Hot metal protective clothing || used to make jacket and trousers for hot metal, steel and aluminum industries || Resistant to hot metal splash around 1500'C degrees";"";"/ariteks/fabrics/ard3e3/data/fabric-complete-record.json"
"ar3iplik-moda-pro";"Ar3İplik Moda Pro";"hivis";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"energy: Arc protection and oil/gas mention exist, but no explicit electrical utility or high-voltage installation use is stated; antistatic/arc alone is insufficient per rules. || welding: No explicit welding, foundry or metal-processing use stated despite FR and antistatic properties. || medical: No explicit medical or healthcare use stated.";"properties: hi-vis || norms: EN ISO 20471 || technicalParameters: High Visibility | Done | EN ISO 20471 || functionIconLabels: EN 20471";"";"/ariteks/fabrics/ar3iplik-moda-pro/data/fabric-complete-record.json"
"arwowear-t4-emk";"ArWoWear T4 EMK";"energy";"88";"";"0";"Secondary candidate did not pass confidence threshold 70.";"medical: Only a brief, uncertified mention of 'anti-stress and pain reducer bandages' without further medical framing or standards. || architecture-building: Mention of shielding 'for walls' does not describe an architectural/building system or structural membrane use.";"Category source group: 'Fabrics for Emi shielding, anti-radar, antistress, high voltage protection.' || ""Another application is conductive clothing for live line workers..."" || ""Arox T4 Antibac is certfied as IEC 60895 for line workers clothing."" || Technical parameter: 'Line Workers | Done | IEC 60895'";"";"/ariteks/fabrics/arwowear-t4-emk/data/fabric-complete-record.json"
"arshirt-emk";"ArShirt EMK";"energy";"88";"";"0";"Secondary candidate did not pass confidence threshold 70.";"medical: Mentions of baby cloth, anti-stress and pain reducer bandages are generic wellness references without explicit medical/healthcare product framing. || architecture-building: EMI shielding for walls is mentioned but not framed as a formal architectural/building system product.";"Certified as IEC 60895 for line workers clothing || Conductive clothing for live line workers, high voltage protection || categorySourceGroup: Fabrics for Emi shielding, anti-radar, antistress, high voltage protection || Application | Faraday Cage Suits";"";"/ariteks/fabrics/arshirt-emk/data/fabric-complete-record.json"
"arof";"Arof";"sport";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"outdoor-functional: No explicit outdoor/leisure use stated; track suit context is sport-specific. || workwear-industrial: No general industrial workwear use stated; product is a sport/military track suit fabric.";"It is mostly used as sport suits for runners and soldiers. || Track Suit Fabric || applicationImageLabels: Track Suit";"";"/ariteks/fabrics/arof/data/fabric-complete-record.json"
"arsport-x";"ArSport X";"hivis";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"sport: Family name 'ArSport' and 'Sports knits' descriptor suggest sport styling, but the stated application is explicitly 'Workwear T-Shirt', not athletic sportswear. || energy: No electrical, arc-flash or utility use stated; only hi-vis certification present.";"Property: hi-vis || Norms: EN ISO 20471 || descriptions: 'It has also high visibility option. (EN 20471 certified)' || technicalParameters: High Visibility | Done | EN ISO 20471";"";"/ariteks/fabrics/arsport-x/data/fabric-complete-record.json"
"arhard-mesh";"ArHard Mesh";"military";"96";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: No generic industrial workwear use stated; military tactical vest is more specific and explicit. || sport: No sport or athletic use mentioned; mesh is for tactical and furniture use only.";"Title: 'Mesh Fabric for Military Tactical Vest' || Description: 'The main application is for tactical vest.' || technicalParameters: 'Application | Military Tactical Vest' || applicationImageLabels: ['Tactical Vest 1','Tactical Vest 2','Tactical Vest 3']";"";"/ariteks/fabrics/arhard-mesh/data/fabric-complete-record.json"
"arhard-mesh-300";"ArHard Mesh 300";"upholstery-interiors";"80";"";"0";"The 'military' reference is limited to a brief 'Military Bag' application note and a descriptive adjective, without further detail on tactical or uniformed-service use, making the secondary classification moderately uncertain.";"transport: No vehicle or vessel context is mentioned; upholstery use is for office furniture, not transport interiors. || workwear-industrial: No general workwear or industrial garment use is stated.";"Upholstery Mesh Fabric || It can be used as upholstery mesh for office furniture. || applicationImageLabels: Office Chair Fabric";"";"/ariteks/fabrics/arhard-mesh-300/data/fabric-complete-record.json"
"arof-mesh-2-2";"Arof Mesh 2*2";"outdoor-functional";"55";"";"0";"Product lists multiple distinct end uses (bag, parka interlining, raincoat, car seat cover) without a clearly dominant single application, requiring human judgment on the most central use.";"upholstery-interiors: The upholstery use stated is specifically for car seats, which falls under transport rather than generic furniture upholstery. || sport: Category is tracksuit/light mesh but no explicit sportswear end use is stated; descriptions focus on bags, parkas, raincoats and car seats instead. || footwear-components: No footwear use mentioned in the product data.";"It can be used as a bag's side pocket, parka interlining, raincoat back fabric and car seat's back cover. || Application | Mesh for Bag, Car Seat, Raincoat";"";"/ariteks/fabrics/arof-mesh-2-2/data/fabric-complete-record.json"
"arsport-dry";"ArSport Dry";"sport";"75";"hivis";"80";"Product data mixes sport (team uniform) framing with explicit hi-vis certification and a police-uniform application field, creating ambiguity about whether military/police should be primary instead of sport.";"military: Police Uniform is stated as an application field, but the product's core design and family framing is sportswear (team uniforms), not specifically uniformed-service tactical gear. || medical: Antibacterial coating is present but no medical or healthcare end use is stated. || workwear-industrial: No general industrial workwear use is stated; product is framed as sports/team uniform fabric.";"family: ArSport - Sports knits || descriptions: 'interlock knit fabric for team uniforms' || categorySourceGroup: Functional knit interlock polyester fabrics";"properties: ['hi-vis'] || norms: ['EN ISO 20471'] || technicalParameters: 'High Visible | Yes | EN 20471'";"/ariteks/fabrics/arsport-dry/data/fabric-complete-record.json"
"ariripstop";"AriRipstop";"outdoor-functional";"80";"";"0";"Secondary candidate did not pass confidence threshold 70.";"military: Ripstop weave is associated with military garments but no explicit military, police or tactical use is stated in the product data. || sport: Stretch property alone does not indicate athletic or sport-specific use; no explicit sportswear application is stated.";"It is used mostly for outdoor wear as pants. || Category: Ripstop & outdoor denim || familyDescriptorEn: Denim and ripstop for outdoor wear";"";"/ariteks/fabrics/ariripstop/data/fabric-complete-record.json"
"ariripstop-el";"AriRipstop El";"outdoor-functional";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"military: No explicit military, tactical or uniformed-service use is stated. || sport: No explicit athletic or sport use is mentioned despite stretch property. || footwear-components: No footwear-related use is mentioned.";"It is used mostly for outdoor wear as pants. || AriRipstop can also be used for workear stretchable raincoats. || Application | Outdoor Elastic Pants";"";"/ariteks/fabrics/ariripstop-el/data/fabric-complete-record.json"
"argiyim-knit-knife-pro";"ArGiyim Knit Knife Pro";"motorcycle";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"military: No explicit military, police or tactical use stated; only theoretical suitability due to aramid cut resistance.";"100% p-Aramid jersey knit fabric for motorcyclist linings. || Application | Motorcyclist lining";"";"/ariteks/fabrics/argiyim-knit-knife-pro/data/fabric-complete-record.json"
"argiyim-denim-kursun-ck";"ArGiyim Denim Kursun CK";"workwear-industrial";"75";"";"0";"Primary application retained, but confidence 75 is below review threshold 80.";"military: No explicit military, police or tactical use stated; only cut-resistance and abrasion properties mentioned. || transport: No vehicle or vessel specific use mentioned beyond personal motorcyclist protective norm.";"Application | Sandblasting Cloth || fabric for sandblasting suits || Abraison Resistant || ArGiyim Denim Kursun CK can be used on abraison resistant cloths";"";"/ariteks/fabrics/argiyim-denim-kursun-ck/data/fabric-complete-record.json"
"arcadir-520";"ArCadır 520";"military";"95";"";"0";"Secondary candidate did not pass confidence threshold 70.";"architecture-building: Tents here are portable shelter fabrics for disaster/military use, not structural architectural membranes or building systems. || workwear-industrial: No workwear or industrial garment use is stated; this is a tent fabric, not apparel.";"It is used as military and disaster tent application. || Application | Miltary Tents || applicationImageLabels: Military Tent, Miltary Tent, Refugee Canvas Tent";"";"/ariteks/fabrics/arcadir-520/data/fabric-complete-record.json"
"ardolu";"ArDolu";"hivis";"92";"";"0";"Secondary candidate did not pass confidence threshold 70.";"transport: No explicit vehicle, transit-worker, or transport-sector use stated; rainwear context alone does not justify transport classification. || workwear-industrial: No explicit general industrial workwear framing beyond rain jacket/parka use; hi-vis and outdoor rainwear are more specific and directly supported.";"properties: hi-vis || norms: EN ISO 20471 || High Visible | Yes | EN 20471 || applicationImageLabels: High visible orange rain jackets, High visible yellow rain jackets";"";"/ariteks/fabrics/ardolu/data/fabric-complete-record.json"
"ardoku";"ArDoku";"hivis";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: EN 343 and winter jacket use are more specifically outdoor/functional than generic industrial workwear; hi-vis is already the dominant certified use. || energy: No explicit statement of electrical/energy sector use; only hi-vis and weather protection stated. || firefighting: EN 343 pertains to rain/cold protection for professional use, not firefighting; no explicit turnout gear reference.";"properties: hi-vis || norms: EN ISO 20471 || technicalParameters: High Visible | Yes | EN 20471 || descriptions: ArDoku is certified for EN 343 and EN 20471";"";"/ariteks/fabrics/ardoku/data/fabric-complete-record.json"
"aribez";"Ari Bez";"footwear-components";"90";"";"0";"The medical secondary application is based on a vague, brief mention without specific garment context or standards, warranting human verification.";"outdoor-functional: UV resistance and outdoor mention are not tied to a specific outdoor garment use; footwear lining and vague medical use are more directly supported. || sport: No explicit sportswear or athletic use is stated.";"It is used as a lining inside of the shoes. || Application | Lining for Shoes || AriPam spun fabrics for shoe lining";"";"/ariteks/fabrics/aribez/data/fabric-complete-record.json"
"arastar";"ArAstar";"footwear-components";"55";"";"0";"Product is a generic polyester lining fabric with only a brief mention of shoe lining use; the dominant intended application is ambiguous and weakly supported by the available evidence.";"workwear-industrial: No explicit statement of industrial or workwear-specific use; only generic garment lining is mentioned. || outdoor-functional: No mention of outdoor, rainwear, or leisure garment application.";"It can be used as a lining inside of the shoes. || Application | Lining";"";"/ariteks/fabrics/arastar/data/fabric-complete-record.json"
"ar-air-mesh-aa-150";"ArAir Mesh AA 150";"footwear-components";"72";"";"0";"The product is a multi-purpose 3D mesh fabric with several explicitly stated end uses (shoes, office upholstery, bags, medical shock absorption), making the choice between footwear and upholstery as primary somewhat ambiguous.";"medical: Mentioned only as one usage example ('shock absorber in medical') without further sector-specific detail; not the dominant use. || military: Only referenced as suitability for military shoes, which is captured under footwear-components rather than a standalone military application. || sport: Referenced as suitability for sport shoes, subsumed under footwear-components rather than a distinct sport apparel use. || transport: No vehicle or vessel context stated; upholstery use is for office furniture, not transport.";"Suitable for sport and military shoes. || Application | Upholstery, Bag, Shoes || 3d warp knitted air mesh fabric with high suspension function";"";"/ariteks/fabrics/ar-air-mesh-aa-150/data/fabric-complete-record.json"
"argun-260";"ArGun 260";"transport";"55";"";"0";"Product spans multiple stated end uses (marine, automotive, awnings, sun umbrellas, outdoor furnishing) that do not map cleanly onto a single taxonomy category, requiring human judgment on relative weighting between transport and outdoor/furnishing uses.";"architecture-building: Awnings and sun blinds are mentioned but not explicitly framed as architectural/building systems, so this does not meet the explicit-use threshold. || hivis: Hi-vis property and EN ISO 20471 norm are listed but no explicit high-visibility safety garment use is stated; the fabric's stated uses are awnings, marine, automotive and furnishing. || medical: Antibacterial property is mentioned but no medical or healthcare use is stated. || upholstery-interiors: Outdoor furnishing is mentioned but this is non-vehicle outdoor furniture use, which is less directly supported than the explicit marine/automotive transport uses and awning/outdoor uses already captured.";"for awnings, marine application, outdoor furnishing, sun umbrella, automotive and sun blinds applications || ArGun marine fabric || ArGun automotive fabric";"";"/ariteks/fabrics/argun-260/data/fabric-complete-record.json"
"arigabardin-77";"Ari Gabardin 7/7";"footwear-components";"80";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: No explicit statement of industrial or general workwear use beyond generic garment mentions. || sport: No explicit sport or athletic use stated.";"categorySourceGroup: AriPam spun fabrics for shoe lining || It is used as a lining inside of the shoes. || Application | Lining for Shoes";"";"/ariteks/fabrics/arigabardin-77/data/fabric-complete-record.json"
"arpo";"ArPo";"outdoor-functional";"72";"";"0";"Primary application retained, but confidence 72 is below review threshold 80.";"sport: No explicit athletic or training use stated, only general winter jacket use. || hivis: One image label mentions 'high visible yellow' but no certification or safety-standard evidence provided. || workwear-industrial: No industrial or occupational workwear context stated.";"ArPo is micro polar fabric, mostly used to make winter jackets || Application | Winter Jacket || polar fleece jacket image label";"";"/ariteks/fabrics/arpo/data/fabric-complete-record.json"
"arbayrak";"ArBayrak";"print-signage";"75";"";"0";"Primary application retained, but confidence 75 is below review threshold 80.";"hivis: No certified high-visibility garment or EN ISO 20471 use stated; it's a warning object, not clothing. || workwear-industrial: No general workwear use indicated; product is a flag/signal fabric for a specific accessory.";"100% polyester fabric for car reflective emergency warning tripod || Application | Flag for Emergency Tripod || categorySourceGroup: Fabrics For Flags || Flag fabric";"";"/ariteks/fabrics/arbayrak/data/fabric-complete-record.json"
"arseat";"ArSeat";"transport";"85";"";"0";"Secondary candidate did not pass confidence threshold 70.";"sport: 'Sport shoes' refers to footwear material use, not athletic apparel; insufficient explicit sport-garment context. || upholstery-interiors: Upholstery use is explicitly automotive (car upholstery), which falls under transport, not generic furniture interiors.";"Suitable for car upholstery and sport shoes. || Application | Car Upholstery, Shoes";"";"/ariteks/fabrics/arseat/data/fabric-complete-record.json"
"arigabardin-245";"Ari Gabardin 245";"footwear-components";"78";"";"0";"Primary application retained, but confidence 78 is below review threshold 80.";"hivis: Hi-vis property and EN ISO 20471 norm are present but the fabric is not explicitly described as a certified fluorescent warning garment; primary use is shoe lining, not certified hi-vis apparel. || workwear-industrial: Safety jackets/pants are mentioned but no explicit general industrial workwear framing beyond outdoor/safety garments, and footwear use is more directly and repeatedly stated.";"categorySourceGroup: 'AriPam spun fabrics for shoe lining' || descriptions: 'It is used as a lining inside of the shoes.' || technicalParameters: 'Application | Lining for Shoes'";"";"/ariteks/fabrics/arigabardin-245/data/fabric-complete-record.json"
"arsotina";"ArSotina";"footwear-components";"55";"";"0";"Generic lining fabric with dual use (garment and shoe lining); footwear use is explicit but garment lining use lacks a specific sector, creating ambiguity.";"workwear-industrial: No explicit workwear or industrial garment context stated, only generic garment lining.";"It can be used as a lining inside of the shoes. || ArSotina, 100% Polyester sotina fabric for garment lining.";"";"/ariteks/fabrics/arsotina/data/fabric-complete-record.json"
"ar-air-mesh-bb";"ArAir Mesh BB";"footwear-components";"55";"";"0";"Product lists many parallel, equally weighted applications (shoes, bags, office upholstery, medical, military, sport) without a clearly dominant one, making the primary/secondary split somewhat ambiguous.";"medical: Mentioned as shock absorber and EN 14683 mask certified, but this is one of several parallel uses, not the dominant one; treated as weaker evidence than footwear/upholstery. || military: Bulletproof vest and military shoe use mentioned tentatively ('possible'), not the clearest dominant use. || sport: Sport shoe suitability mentioned but subsumed under footwear-components as the more specific category per rule 13. || transport: No vehicle-specific upholstery mentioned; only office furniture, which is upholstery-interiors not transport.";"Suitable for sport and military shoes. || Application | Uphosltery, Bag, Shoes || 3D warp knitted spacer mesh with high suspension function";"";"/ariteks/fabrics/ar-air-mesh-bb/data/fabric-complete-record.json"
"ar-air-mesh-aa-250";"ArAir Mesh AA 250";"footwear-components";"78";"";"0";"Primary application retained, but confidence 78 is below review threshold 80.";"medical: Only a single incidental mention of shock absorption in medical context; not the dominant or independently developed use. || military: Mentioned only as one of several shoe end-uses (military shoes), not a standalone military product application. || sport: Mentioned only as one of several shoe end-uses (sport shoes), not a distinct sportswear application. || transport: Upholstery use is explicitly limited to office furniture, not vehicles or vessels, so transport is excluded per rule 10/12.";"Suitable for sport and military shoes. || Application | Uphosltery, Bag, Shoes || 3D Air Mesh for Shoes (application image label)";"";"/ariteks/fabrics/ar-air-mesh-aa-250/data/fabric-complete-record.json"
"arseat-touch";"ArSeat Touch";"upholstery-interiors";"62";"";"0";"The product name 'ArSeat' could imply automotive seating, but the explicit application text only states generic 'upholstery', making the transport interpretation uncertain and warranting human confirmation.";"transport: Name 'ArSeat' hints at seating but no vehicle, vessel or automotive context is explicitly stated; only generic 'upholstery' application is given. || sport: No sportswear or athletic use is stated in the data.";"It is suitable for upholstery. || Application | Upholstery || familyDescriptorEn: Upholstery knits for seats and footwear || categoryNameEn: Upholstery & footwear knits";"";"/ariteks/fabrics/arseat-touch/data/fabric-complete-record.json"
"ar-air-mesh-bond";"ArAir Mesh Bond";"upholstery-interiors";"60";"";"0";"Product lists three distinct plausible uses (upholstery, footwear, acoustic panels) with no clear dominant application stated, requiring human judgment to confirm primary/secondary assignment.";"architecture-building: Acoustic panels for theatre/cinema walls are mentioned only as an additional possible use, not a structural building system, and less central than upholstery/footwear uses. || military: Military shoes are mentioned as one of several suitable applications for the mesh, not as a distinct military-specific product; captured within footwear-components. || sport: Sport shoes mentioned alongside military shoes as one application; footwear-components is the more specific and appropriate classification per taxonomy rules.";"It can be used as upholstery mesh for office furniture. || Application | Uphosltery, Bag, Shoes";"";"/ariteks/fabrics/ar-air-mesh-bond/data/fabric-complete-record.json"
